transaction_id,block,block_ts,from_address,to_address,confirmed,contractRet,quant,tokenAbbr
bda83ff6701e3f68eefd6924ae8e51965c847f15d43fd82bb45372629f2326c8,49178564,2023/03/06 23:59:57,TRRcCxj6GLgAqJc2GwBr4jgkoVp6PQdmvF,TRNq4AaifQwZ2K5btZ7VDkwqw86PbGZmrE,true,SUCCESS,0.763680000000000000,
7783a933eea2a9070fcee403e6a3239040bb9353a5e0a53b0ec35d73e9d63b12,49178564,2023/03/06 23:59:57,TRRcCxj6GLgAqJc2GwBr4jgkoVp6PQdmvF,TQJoedUJMWu9PKMTguh2hTxEMyQ122fe1N,true,SUCCESS,0.523680000000000000,
7419b57462bc9feb3193fa771c9c6da71a2910414c1bcb49ab7be558d56e2bad,49178564,2023/03/06 23:59:57,TRRcCxj6GLgAqJc2GwBr4jgkoVp6PQdmvF,TNzMKU3wnWCMkrnrVXdaYcK8yPGX9T8Yne,true,SUCCESS,0.423680000000000000,
7d0989b1f50efbe9e1b284f44536663e97882e0afad2b5e1d518aaae39f20fcf,49178564,2023/03/06 23:59:57,TRRcCxj6GLgAqJc2GwBr4jgkoVp6PQdmvF,TGThZ49SBGNjbPVm9zTp8U6jdXJwuSQhgc,true,SUCCESS,0.843680000000000000,
da29744c4840eedb8c62f28095bb01651319819ded8c0e47132ad952f4ef9cfe,49178564,2023/03/06 23:59:57,TRRcCxj6GLgAqJc2GwBr4jgkoVp6PQdmvF,THTvgAurz96ZkkkpPkgo7MukQoMyTLWKNw,true,SUCCESS,5.783680000000000000,
5af833c9bd901b53d0d6a987e896d1677add8b5bc3925fb3bab380cdbb6d2b31,49178564,2023/03/06 23:59:57,TRRcCxj6GLgAqJc2GwBr4jgkoVp6PQdmvF,TD6VmsCB3ttd3ZcMC83w2qE5R5nJC43X19,true,SUCCESS,0.313680000000000000,
855be4234015bab13d877165d28dec6bc363282c0d8a3cd116789d1edcccf064,49178563,2023/03/06 23:59:54,TRRcCxj6GLgAqJc2GwBr4jgkoVp6PQdmvF,TPqArxg9J1ynwZsMj92QHKNuLCqV1QabPj,true,SUCCESS,0.113590000000000000,
2b07d5bf26cb86fd4900f2e47578198e178715dbf5b1a4844608d7d2873ed4a6,49178563,2023/03/06 23:59:54,TRRcCxj6GLgAqJc2GwBr4jgkoVp6PQdmvF,TUwFPwLi5aC8prDoR3vrCFAagYwjLJB3KB,true,SUCCESS,0.123590000000000000,
bd57267e3cb36c76b42041f293af28bea774eaeaa8cc6a2a7fa469ec1c7c8e03,49178563,2023/03/06 23:59:54,TRRcCxj6GLgAqJc2GwBr4jgkoVp6PQdmvF,TPjStNHHyX9dsCJPBUTgwHWZ4uhRqiirrQ,true,SUCCESS,1.063730000000000000,
23aefa3f22fee1188c750ece44f5bacfc2f2411a17e06b0d97314b205c679dfc,49178563,2023/03/06 23:59:54,TRRcCxj6GLgAqJc2GwBr4jgkoVp6PQdmvF,TTo1eA4ErbcbSF64EYqzL2zbttUSWjU4mh,true,SUCCESS,0.323730000000000000,
